Airport data,London,Paris,Amsterdam,Frankfurt,Madrid,Barcelona,Munich,Rome,Dublin,Stockholm,Lisbon,Berlin,Helsinki,Warsaw,Edinburgh,Bucharest,Heraklion,Reykjavik,Palermo,Madeira,New York,Atlanta,Los Angeles,Chicago
ICAO Code,EGLL,LFPG,EHAM,EDDF,LEMF,LEBL,EDDM,LIRF,EIDW,ESSA,LPPT,EDDT,EFHK,EPWA,EGPH,LROP,LGIR,BIKF,LICJ,LPMA,KJFK,KATL,KLAX,KORD
Latitude (deg),51.4706,49.01279831,52.30860138,50.0333333,40.471926,41.29710007,48.35380173,41.8002778,53.42129898,59.65190125,38.78129959,52.55970001,60.31719971,52.16569901,55.95000076,44.5711111,35.33969879,63.985,38.110802,32.69789886,40.6397222,33.63667,33.9425,41.9786111
Longitude (deg),-0.461941,2.549999952,4.76388979,8.5705556,-3.56264,2.078459978,11.78610039,12.2388889,-6.270070076,17.91860008,-9.135919571,13.2876997,24.9633007,20.96710014,-3.372499943,26.085,25.18029976,-22.60555556,13.3133,-16.77449989,-73.778889,-84.4280556,-118.4080556,-87.905
Runway (m),3200,3100,3400,3400,3600,2700,2800,2800,2600,2700,2600,2900,2700,2500,2200,1900,1800,2200,2300,1900,3500,3500,3500,3500
